usu_aglcta;subtipo;Tipo;Grupo;abv Tipo;Cod Estrutura;cod Tipo;cod Grupo;usu_clacta
75365;Pesquisa e Desenvolvimento;DESPESAS OPERACIONAIS;DESPESAS;Despesas Operacionais;6;13;4;12001003
75291;Serviço Recorrente;RECEITA RECORRENTE;RECEITA;Recorrente;1;8;1;1001004
75293;Serviço não Recorrente;RECEITA NÃO RECORRENTE;RECEITA;Não Recorrente;1;9;1;1002002
75299;Emissão de Boletos;RECEITA FINTECH;RECEITA;Fintech;1;10;1;1003003
75518;OUTROS CUSTOS;OUTROS CUSTOS;CUSTOS;Outros Custos;4;74;64;6002
75370;DEDUÇÕES DA RECEITA BRUTA;DEDUÇÕES DA RECEITA BRUTA;DEDUÇÕES DA RECEITA BRUTA;Deduções Da Bruta;2;2;2;2
75298;Crédito Consignado;RECEITA FINTECH;RECEITA;Fintech;1;10;1;1003002
75300;Intermediação;RECEITA FINTECH;RECEITA;Fintech;1;10;1;1003004
75363;Despesas com Vendas;DESPESAS OPERACIONAIS;DESPESAS;Despesas Operacionais;6;13;4;12001001
75368;RESULTADO FINANCEIRO;RESULTADO FINANCEIRO;RESULTADO FINANCEIRO;Resultado Financeiro;8;68;68;14
75322;CUSTOS GERAIS;CUSTOS GERAIS;CUSTOS;Custos Gerais;4;73;64;6001
75296;Outras Receitas;RECEITA NÃO RECORRENTE;RECEITA;Não Recorrente;1;9;1;1002005
75297;Antecipação de Recebíveis;RECEITA FINTECH;RECEITA;Fintech;1;10;1;1003001
75367;Equivalência Patrimonial;DESPESAS OPERACIONAIS;DESPESAS;Despesas Operacionais;6;13;4;12001005
75373;Habilitação Cloud;RECEITA NÃO RECORRENTE;RECEITA;Não Recorrente;1;9;1;1002006
75289;SAAS;RECEITA RECORRENTE;RECEITA;Recorrente;1;8;1;1001002
75369;IMPOSTOS SOBRE O LUCRO;IMPOSTOS SOBRE O LUCRO;IMPOSTOS SOBRE O LUCRO;Impostos Sobre O Lucro;10;5;5;16
75288;ATST;RECEITA RECORRENTE;RECEITA;Recorrente;1;8;1;1001001
75294;Vendas Hardware;RECEITA NÃO RECORRENTE;RECEITA;Não Recorrente;1;9;1;1002003
75366;Outras Despesas e Receitas;DESPESAS OPERACIONAIS;DESPESAS;Despesas Operacionais;6;13;4;12001004
75290;LUT;RECEITA RECORRENTE;RECEITA;Recorrente;1;8;1;1001003
75292;Licenças;RECEITA NÃO RECORRENTE;RECEITA;Não Recorrente;1;9;1;1002001
75364;Despesas Gerais Administrativas;DESPESAS OPERACIONAIS;DESPESAS;Despesas Operacionais;6;13;4;12001002
