cod_ccu;departamento;cod_departamento;linha_produto;cod_linhaproduto;Diretoria;cod_unidade;filial_gerencial;cod_filial;area;cod_area;agrupador_departamento
5540;384 - GERENCIA DE SERVIÇOS;384;PRODUTO 1;1;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
5680;385 - CONSULTORIA DE NEGÓCIOS;385;PRODUTO 5;2;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
5750;390 - CONSULTORIA IMPLANTAÇÃO;390;NÃO CLASSIFICADO;0;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
6010;387 - OUTSOURCING;387;PRODUTO 5;2;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
6050;387 - OUTSOURCING;387;PRODUTO 5;2;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
5140;377 - SERVIÇOS CUSTOMIZADOS;377;PRODUTO 2;4;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
4873;382 - GOVERNANÇA PMO;382;PRODUTO 1;1;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
4881;382 - GOVERNANÇA PMO;382;PRODUTO 5;2;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
10112;389 - ACADEMIA;389;PRODUTO 5;2;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
5118;376 - SUPORTE APLICATIVOS;376;PRODUTO 1;1;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
5126;376 - SUPORTE APLICATIVOS;376;PRODUTO 10;6;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
5866;506 - PMO CORPORATIVO;506;PRODUTO 10;5;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
4980;381 - GESTÃO DO CONHECIMENTO;381;NÃO CLASSIFICADO;0;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
5770;390 - CONSULTORIA IMPLANTAÇÃO;390;PRODUTO 1;1;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
5950;386 - PMO SERVIÇOS;386;PRODUTO 2;4;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
8258;568 - SUPORTE INDAIATUBA;568;PRODUTO 10;5;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
9089;752 - OTIMIZAÇÃO DE SERVIÇOS;752;PRODUTO 1;1;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
4521;684 - CONSULTORIA (EXTINTO);684;PRODUTO 3;9;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
5040;381 - GESTÃO DO CONHECIMENTO;381;PRODUTO 10;5;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
5070;381 - GESTÃO DO CONHECIMENTO;381;PRODUTO 2;4;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
5620;384 - GERENCIA DE SERVIÇOS;384;PRODUTO 2;4;SERVIÇOS;13;FILIAL MATRIZ;13;151 - SERVIÇOS;151;DEMAIS DEPARTAMENTOS
