"representante","situacao_rep","cod_rep","modelo_venda"
Representante 1,A,"942",Canal
Representante 2,A,"944",Canal
Representante 3,A,"949",Canal
Representante 4,A,"960",Canal
Representante 5,A,"962",Canal
Representante 6,A,"1012",Canal
Representante 7,A,"1046",Canal
Representante 8,A,"1061",Canal
Representante 9,A,"1091",Canal
Representante 10,A,"1128",Canal
Representante 11,A,"1185",Canal
Representante 12,A,"1190",Canal
Representante 13,A,"1278",Canal
Representante 14,A,"1286",Canal
Representante 15,A,"1401",Canal
Representante 16,A,"1425",Canal
Representante 17,A,"1426",Canal
Representante 18,A,"1504",Parceiros
Representante 19,A,"1600",Canal
Representante 20,A,"1602",Canal
Representante 21,A,"1606",Canal
Representante 22,A,"1607",Canal
Representante 23,A,"1610",Canal
Representante 24,A,"1611",Canal
Representante 25,A,"190",Canal
Representante 26,I,"194",Canal
Representante 27,A,"202",Canal
Representante 28,A,"203",Canal
Representante 29,A,"262",Canal
Representante 30,A,"274",Canal
Representante 31,A,"280",Canal
Representante 32,A,"356",Canal
Representante 33,A,"379",Canal
Representante 34,A,"399",Canal
Representante 35,A,"403",Canal
Representante 36,A,"409",Canal
Representante 37,I,"413",Canal
Representante 38,A,"414",Canal
Representante 39,A,"419",Canal
Representante 40,A,"420",Canal
Representante 41,A,"438",Canal
Representante 42,A,"449",Canal
Representante 43,A,"470",Canal
Representante 44,A,"502",Canal
Representante 45,A,"522",Canal
Representante 46,A,"540",Canal
Representante 47,A,"570",Canal
Representante 48,A,"593",Canal
Representante 49,A,"607",Canal
Representante 50,A,"614",Canal
Representante 51,A,"662",Canal
Representante 52,A,"665",Canal
Representante 53,A,"676",Canal
Representante 54,A,"679",Canal
Representante 55,A,"707",Canal
Representante 56,A,"708",Canal
Representante 57,A,"709",Canal
Representante 58,A,"735",Canal
Representante 59,A,"800",Canal
Representante 60,I,"802",Canal
Representante 61,A,"808",Canal
Representante 62,A,"814",Canal
Representante 63,A,"815",Canal
Representante 64,I,"830",Canal
Representante 65,A,"838",Canal
Representante 66,A,"843",Canal
Representante 67,A,"861",Canal
Representante 68,A,"885",Canal
Representante 69,A,"892",Canal
Representante 70,A,"901",Canal
Representante 71,A,"1612",Canal
Representante 72,A,"1613",Canal
Representante 73,A,"1617",Canal
Representante 74,A,"1619",Canal
Representante 75,A,"1620",Canal
Representante 76,A,"1623",Canal
Representante 77,A,"1624",Canal
Representante 78,A,"1626",Canal
Representante 79,A,"1628",Canal
Representante 80,A,"1631",Canal
Representante 81,A,"1632",Canal
Representante 82,A,"1633",Canal
Representante 83,A,"1634",Canal
Representante 84,A,"1636",Canal
Representante 85,A,"1640",Canal
Representante 86,A,"1641",Canal
Representante 87,A,"1642",Canal
Representante 88,A,"1643",Canal
Representante 89,A,"1647",Canal
Representante 90,A,"1648",Canal
Representante 91,A,"1649",Canal
Representante 92,A,"1650",Canal
Representante 93,A,"2",Parceiros
Representante 94,A,"3",Parceiros
Representante 95,A,"4",Canal
Representante 96,A,"5",Parceiros
Representante 97,A,"6",Canal
Representante 98,A,"7",Parceiros
Representante 99,A,"40",Canal
Representante 100,A,"47",Canal
Representante 101,A,"51",Canal
Representante 102,A,"56",Canal
Representante 103,A,"68",Canal
Representante 104,I,"75",Canal
Representante 105,A,"93",Canal
Representante 106,A,"118",Canal
Representante 107,A,"125",Canal
Representante 108,A,"126",Canal
Representante 109,A,"146",Canal
Representante 110,A,"147",Canal
Representante 111,A,"153",Canal
Representante 112,A,"162",Canal
Representante 113,A,"169",Canal
Representante 114,A,"180",Canal
Representante 115,A,"183",Canal
Representante 116,A,"184",Canal
Representante 117,A,"1721",Canal
Representante 118,A,"1701",Canal
Representante 119,A,"1719",Canal
Representante 120,A,"2010",Canal
Representante 121,A,"1723",Canal
Representante 122,A,"1725",Canal
Representante 123,A,"1710",Canal
Representante 124,A,"1727",Canal
Representante 125,A,"1729",Canal
Representante 126,A,"1731",Canal
Representante 127,A,"1651",Canal
Representante 128,A,"1652",Canal
Representante 129,A,"1653",Canal
Representante 130,A,"1654",Canal
Representante 131,A,"1655",Canal
Representante 132,A,"1657",Parceiros
Representante 133,A,"1658",Canal
Representante 134,A,"1659",Canal
Representante 135,A,"1660",Canal
Representante 136,A,"1661",Canal
Representante 137,A,"1662",Canal
Representante 138,A,"1663",Canal
Representante 139,A,"1664",Canal
Representante 140,A,"1665",Canal
Representante 141,A,"1666",Canal
Representante 142,A,"1668",Canal
Representante 143,A,"1669",Canal
Representante 144,A,"1670",Parceiros
Representante 145,A,"1671",Canal
Representante 146,A,"1672",Canal
Representante 147,A,"1673",Canal
Representante 148,A,"1674",Canal
Representante 149,A,"1700",Canal
Representante 150,A,"1702",Canal
Representante 151,A,"1703",Canal
Representante 152,A,"1705",Canal
Representante 153,A,"1706",Canal
Representante 154,A,"1709",Canal
Representante 155,A,"1711",Canal
Representante 156,A,"1712",Canal
Representante 157,A,"1713",Canal
Representante 158,A,"1715",Canal
Representante 159,A,"1717",Canal
Representante 160,A,"1718",Canal
Representante 161,A,"1720",Canal
Representante 162,A,"1803",Canal
Representante 163,A,"1816",Canal
Representante 164,A,"1858",Canal
Representante 165,A,"1898",Canal
Representante 166,A,"1907",Canal
Representante 167,A,"1919",Canal
Representante 168,A,"1958",Canal
Representante 169,A,"1981",Canal
Representante 170,A,"1989",Canal
Representante 171,A,"1994",Canal
Representante 172,A,"1998",Canal
Representante 173,A,"5804",Canal
Representante 174,A,"9001",Canal
Representante 175,A,"9645",Canal
Representante 176,A,"9777",Canal
Representante 177,A,"9886",Canal
Representante 178,A,"9943",Canal
Representante 179,A,"1",Direto
Representante 180,A,"1601",Canal
Representante 181,A,"8",Parceiros
Representante 182,A,"1704",Canal
Representante 183,A,"1716",Canal
Representante 184,A,"1730",Canal
Representante 185,A,"1724",Canal
Representante 186,A,"1722",Canal
Representante 187,A,"1728",Canal
Representante 188,A,"1732",Canal
Representante 189,A,"1733",Canal
Representante 190,A,"1503",Direto
Representante 191,A,"1508",Direto
Representante 192,A,"1509",Direto
Representante 193,A,"1505",Direto
Representante 194,A,"1506",Direto
Representante 195,A,"9003",Canal
Representante 196,A,"9004",Canal
Representante 197,A,"1734",Canal
Representante 198,A,"1735",Canal
Representante 199,A,"1982",Canal
Representante 200,A,"9002",Canal
Representante 201,A,"1507",Direto
Representante 202,A,"2067",Canal
Representante 203,A,"1197",Canal
Representante 204,A,"26032",Canal
Representante 205,A,"181203",Canal
Representante 206,A,"181204",Canal
Representante 207,A,"181205",Canal
Representante 208,A,"181206",Canal
Representante 209,A,"24270",Canal
Representante 210,A,"1529",Direto
Representante 211,A,"181207",Canal
Representante 212,A,"5108",Direto
Representante 213,A,"181208",Canal
Representante 214,A,"181209",Parceiros
Representante 215,A,"26858",Parceiros
Representante 216,A,"181210",Parceiros
Representante 217,A,"18746",Canal
Representante 218,A,"1741",Canal
Representante 219,A,"1198",Canal
Representante 220,A,"1199",Canal
Representante 221,A,"1200",Canal
Representante 222,A,"20126",Canal
Representante 223,A,"1511",Direto
Representante 224,A,"1511",Direto
Representante 225,A,"20627",Canal
Representante 226,A,"1742",Canal
Representante 227,A,"1743",Canal
Representante 228,I,"21131",Canal
Representante 229,A,"21264",Canal
Representante 230,A,"21764",Parceiros
Representante 231,A,"22061",Canal
Representante 232,A,"22062",Canal
Representante 233,A,"1514",Direto
Representante 234,A,"1514",Direto
Representante 235,A,"1514",Direto
Representante 236,A,"22262",Canal
Representante 237,A,"22263",Canal
Representante 238,A,"22672",Canal
Representante 239,A,"22684",Canal
Representante 240,I,"23950",Canal
Representante 241,A,"1740",Canal
Representante 242,A,"19195",Direto
Representante 243,A,"19468",Canal
Representante 244,I,"19802",Canal
Representante 245,A,"19818",Canal
Representante 246,A,"19979",Canal
Representante 247,A,"19983",Canal
Representante 248,A,"20141",Canal
Representante 249,A,"20450",Canal
Representante 250,A,"20470",Canal
Representante 251,A,"19534",Canal
Representante 252,A,"5120",Direto
Representante 253,A,"20908",Canal
Representante 254,A,"21006",Canal
Representante 255,I,"21081",Canal
Representante 256,A,"21263",Canal
Representante 257,A,"21667",Canal
Representante 258,A,"21668",Canal
Representante 259,A,"21669",Canal
Representante 260,A,"21670",Canal
Representante 261,I,"21723",Canal
Representante 262,A,"21734",Canal
Representante 263,A,"22154",Canal
Representante 264,A,"22178",Canal
Representante 265,A,"9005",Canal
Representante 266,A,"1510",Direto
Representante 267,A,"1510",Direto
Representante 268,A,"1512",Parceiros
Representante 269,A,"20463",Canal
Representante 270,A,"20605",Canal
Representante 271,A,"20614",Canal
Representante 272,A,"20690",Canal
Representante 273,A,"20691",Canal
